"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Perturbation1","Perturbation2","Category"
"Fgf4+NoLif...47",-0.209760999964178,-0.245608401578629,-0.100785458521449,-0.438182898762813,-0.848282935314854,-1.36907600081812,-0.253729961624935,"XX","Fgf4","NoLif","Sim_Final"
"NoLif+Fgfri...48",-0.579620051108089,-0.919220927593096,-0.285381559060487,-1.24074763003596,-3.17480762730286,-1.45058190366543,-0.26883539740008,"XX","NoLif","Fgfri","Sim_Final"
"NoLif+Gsk3i...49",-0.695611234643646,-0.103846939390858,-0.343264381114406,-1.49240360430292,-0.358666828999894,-1.4789215957056,-0.274087574028348,"XX","NoLif","Gsk3i","Sim_Final"
"NoLif+Igfri...50",-0.753558176535367,-0.104548493385533,-0.372193817918666,-1.61817953135066,-0.361089858008915,-1.48891267834476,-0.275939214852605,"XX","NoLif","Igfri","Sim_Final"
"NoLif+Jaki...51",-0.378184508943806,-0.155413262581235,-0.182462266138003,-0.793287502622878,-0.536766729973048,-2.21329614178966,-0.410188729322058,"XX","NoLif","Jaki","Sim_Final"
"NoLif+Meki...52",-0.126986008909779,0.519566443524849,-0.0594725839992838,-0.25856775011025,-6.58810836249556,-1.35083486177285,-0.250349343231811,"XX","NoLif","Meki","Sim_Final"
"NoLif+Pi3ki...53",-1.31211428156447,-0.113191566066136,-0.650968336486626,-2.83020186512135,-0.390941324882675,-1.61200178347943,-0.298751238365986,"XX","NoLif","Pi3ki","Sim_Final"
"Activin...54",0,-0.140282768693285,0,0,-0.616651048366041,0,1.39774467268504,"XO","Activin",NA,"Sim_Final"
"Bmp4ri...55",-0.0824976747748009,-0.218182977094232,-0.0478624416497385,-0.0397813884149502,-0.95908259306563,-0.0162300739789538,-0.58703304204783,"XO","Bmp4ri",NA,"Sim_Final"
"Activin+Bmp4ri...56",-0.0824976747748009,-0.358465745787517,-0.0478624416497385,-0.0397813884149502,-1.57573364143167,-0.0162300739789538,0.810711630637205,"XO","Activin","Bmp4ri","Sim_Final"
"Fgf4...57",0.114904798373308,0.303890637644474,0.0666639904994904,0.0554085000250981,1.33583391629381,0.0226056477740291,0.00313770699192032,"XO","Fgf4",NA,"Sim_Final"
"Activin+Fgf4...58",0.114904798373308,0.163607868951188,0.0666639904994904,0.0554085000250981,0.719182867927764,0.0226056477740291,1.40088237967696,"XO","Activin","Fgf4","Sim_Final"
