"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Treatment_id","Perturbation1","Perturbation2","Category"
"Bmp4ri+Meki...84",0.017445283045165,5.32249838857614,-0.132209295545699,0.856476378082336,0.540241832276237,-1.5482875581964,-2.06974639386509,"XO","Bmp4ri+Meki","Bmp4ri","Meki","Sim_Init"
"Fgf4+Meki...85",-0.38212870772537,5.81726429930244,1.09451375544395,-0.128326390900774,2.49960709350268,0.375599820533738,-1.32756494947215,"XO","Fgf4+Meki","Fgf4","Meki","Sim_Init"
"Gsk3i+Meki...86",-2.1174179849137,5.53495242902705,-1.28592449012151,0.0605709543407275,1.44906808453881,-1.23950742357969,-0.645713710307625,"XO","Gsk3i+Meki","Gsk3i","Meki","Sim_Init"
"Igfri+Meki...87",1.18590637312114,5.37325730666855,-0.665322631767415,1.18557097308336,2.16239590555071,-0.0861427030544882,0.516741475626888,"XO","Igfri+Meki","Igfri","Meki","Sim_Init"
"Jaki+Meki...88",-3.55329893071453,5.15796219423913,-2.39648170624121,0.0785270605694589,0.97117788679266,-0.133519836328134,-0.874489482402546,"XO","Jaki+Meki","Jaki","Meki","Sim_Init"
"Pi3ki...89",-0.293615077192,-0.207373169532308,0.0630294049596366,0.0958835020840895,-1.35466935425996,0.357997657827781,-1.48149151858728,"XO","Pi3ki","Pi3ki",NA,"Sim_Init"
"Activin+Pi3ki...90",-0.298729435315566,0.253936072160975,-1.11877733041509,-0.764561997130879,-2.37113356437404,0.263361316336759,2.53180596231938,"XO","Activin+Pi3ki","Activin","Pi3ki","Sim_Init"
"Bmp4ri+Pi3ki...91",0.267704053276116,-0.77936263232344,0.184105336701903,0.00588523650907556,-0.734633201463723,-0.618610364534035,-3.80385120525475,"XO","Bmp4ri+Pi3ki","Bmp4ri","Pi3ki","Sim_Init"
"Fgf4+Pi3ki...92",0.670334460564587,1.95960644989692,1.07981500200349,0.333631394453616,1.77835635980239,1.2321433079854,-0.382756565503535,"XO","Fgf4+Pi3ki","Fgf4","Pi3ki","Sim_Init"
"Fgfri+Pi3ki...93",0.153944175434315,1.05646784238766,0.0488085493468331,0.192005345283329,2.2517150434332,-1.79194074519558,-0.1981020456789,"XO","Fgfri+Pi3ki","Fgfri","Pi3ki","Sim_Init"
"Gsk3i+Pi3ki...94",0.0849041311125478,0.188434790822212,0.547954554392651,0.266996473254581,1.02137051954263,-3.1955365190446,-0.174688396398766,"XO","Gsk3i+Pi3ki","Gsk3i","Pi3ki","Sim_Init"
"Jaki+Pi3ki...95",-0.778468226198637,-0.583356118676944,1.06705278361162,0.20842848232281,-0.689284234489589,0.56664148247304,-2.16282580639918,"XO","Jaki+Pi3ki","Jaki","Pi3ki","Sim_Init"
"Meki+Pi3ki...96",-0.202760277367534,5.59008295881107,-0.996774924077349,0.224682960169242,2.43373286335302,-0.905735247923269,2.25930316372284,"XO","Meki+Pi3ki","Meki","Pi3ki","Sim_Init"
"NoLif...97",-0.642607197297447,-1.85988676571337,-0.0185007302069699,0.106901107475764,-9.05105638431115,-0.164991633940595,0.632755845485338,"XO","NoLif","NoLif",NA,"Sim_Init"
"Activin+NoLif...98",0.264271862124026,0.504097769073402,-0.201667341986854,0.177362632488265,2.02651730597343,2.53580711495838,0.478014777620185,"XO","Activin+NoLif","Activin","NoLif","Sim_Init"
"NoLif+Bmp4ri...99",-1.06978994797126,-1.77466345114248,0.180577237625745,-0.0151872536431698,-7.73939418057754,-0.181665338639334,-2.41289715711227,"XO","NoLif+Bmp4ri","NoLif","Bmp4ri","Sim_Init"
"Fgf4+NoLif...100",-0.547632755099038,2.09478920365184,-0.223784911556534,-0.141151167555209,1.77109618363442,-2.86175382490439,0.234637673741466,"XO","Fgf4+NoLif","Fgf4","NoLif","Sim_Init"
