"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","Replicate","x_status","Perturbation1","Perturbation2","Category","Treatment_id"
"...197",-0.866955064258835,-1.14875011564996,-0.365206343326838,-0.780606322293387,-3.47546278627477,-0.439988564280051,0.0531308739144661,"R3","XO","Fgfri","Gsk3i","Exp_XO","Fgfri+Gsk3i"
"...198",-1.15074803025943,-0.0544227331018091,-0.649773910710272,-1.79690813462249,0.123190696529848,-0.611084230192893,-0.0988869530949941,"R3","XO","Igfri","Gsk3i","Exp_XO","Igfri+Gsk3i"
"...199",-0.520504650237402,3.42969907811253,-0.304176909929277,-0.337476515985191,-1.69946433417305,-0.265777884123562,-0.251100327597722,"R3","XO","Meki","Gsk3i","Exp_XO","Meki+Gsk3i"
"...200",-1.86695506425883,-0.103962193903125,-0.977135891648264,-2.0084122398162,0.588074382098453,-0.574818112601152,-0.00488550855154009,"R3","XO","Pi3ki","Gsk3i","Exp_XO","Pi3ki+Gsk3i"
"...201",-1.15074803025943,-1.24272626385898,-0.682688533183007,-0.748545113061089,-4.28569105380184,-1.51842709703435,-0.499058916705732,"R3","XO","Fgfri","Jaki","Exp_XO","Fgfri+Jaki"
"...202",-1.22805375642687,-0.135811059942464,-0.798165750602943,-1.64162990914458,-0.0457825441418212,-0.775530702374508,-0.0657413672057371,"R3","XO","Igfri","Jaki","Exp_XO","Igfri+Jaki"
"...203",-0.561609853567077,2.77279600825508,-0.44766850351881,-0.158307670299259,-2.52402269802765,-1.6085026097951,-0.250994303478885,"R3","XO","Meki","Jaki","Exp_XO","Meki+Jaki"
"...204",-2.38152823708859,-0.129384790783032,-1.33001691486454,-1.8987877486417,-0.269167176007832,-1.18788171091667,-0.0493133682756781,"R3","XO","Pi3ki","Jaki","Exp_XO","Pi3ki+Jaki"
"...205",-0.132051936549521,-0.0243027447254738,0.0364106401896849,-0.0275210627639043,-0.684013139065499,-1.09169875438281,1.24554772808222,"R3","XO","Activin","NoLif","Exp_XO","Activin+NoLif"
"...206",-0.018958157703884,-0.306541361456419,0.0893595201386374,-0.179524156208954,-2.02781846416134,-1.29234061132909,-0.804567627040151,"R3","XO","Bmp4ri","NoLif","Exp_XO","Bmp4ri+NoLif"
"...207",-0.119721134638801,0.984611980082275,-0.00461662807037037,-0.686484144928839,0.505217145663732,-4.3711052026926,0.11957127487768,"R3","XO","Fgf4","NoLif","Exp_XO","Fgf4+NoLif"
"...208",-0.268317626640601,-1.17498165722314,-0.221240568947205,-0.488155428482859,-3.44105381983677,-1.36529426527249,-0.234186414551769,"R3","XO","Fgfri","NoLif","Exp_XO","Fgfri+NoLif"
"...209",-0.638686076585718,-0.427466143716026,-0.205210459128257,-0.952559005082682,-1.61443109945656,-1.27099605531348,-0.291290211072449,"R3","XO","Gsk3i","NoLif","Exp_XO","Gsk3i+NoLif"
"...210",-0.352381891429076,-0.0789798373457881,-0.525147256196528,-0.970937534397538,-1.36038258001398,-0.999403118887343,-0.351860046511793,"R3","XO","Igfri","NoLif","Exp_XO","Igfri+NoLif"
"...211",-0.710835862341553,-0.161806268475409,-0.321352053737411,-0.423449739095044,-1.77480274619494,-2.01715314579595,-0.336807702616222,"R3","XO","Jaki","NoLif","Exp_XO","Jaki+NoLif"
"...212",0.198518773218446,3.1383174560936,-0.0326310042399663,0.178288474376941,-4.2515144528566,-1.52072426872348,0.0367745124071956,"R3","XO","Meki","NoLif","Exp_XO","Meki+NoLif"
"...213",-1.39632523901667,0.0226183026620247,-0.923696632686802,-1.97093753439754,-1.12083362840868,-1.02716572489506,0.0218342677795942,"R3","XO","Pi3ki","NoLif","Exp_XO","Pi3ki+NoLif"
"...214",-0.345286390836424,-1.26918663281539,-0.212707956265642,NA,-2.84911877783697,-0.459149524548211,-0.627260712517375,"R4","XO","Fgfri","Bmp4ri","Exp_XO","Fgfri+Bmp4ri"
"...215",-0.397281028474685,-0.0627357553479631,-0.189056688200996,NA,0.0923631020446529,-0.207998802302234,0.0514444182537717,"R4","XO","Igfri","Bmp4ri","Exp_XO","Igfri+Bmp4ri"
"...216",0.218238939222437,3.58879436231218,-0.0981481920027862,NA,-2.77284745702948,-0.676065962810316,-0.832344431223134,"R4","XO","Meki","Bmp4ri","Exp_XO","Meki+Bmp4ri"
"...217",-1.14309754022316,-0.053149706518764,-0.655837762573838,NA,0.358388342293507,-0.179642158178113,-0.460161044035172,"R4","XO","Pi3ki","Bmp4ri","Exp_XO","Pi3ki+Bmp4ri"
"...218",-0.673612256921937,-0.882163509706141,-0.459145851568741,NA,-2.91399542556262,-0.360274670786198,-0.1823746043532,"R4","XO","Fgfri","Gsk3i","Exp_XO","Fgfri+Gsk3i"
"...219",-0.610876501573975,-0.0247679051489427,-0.248928144178396,NA,-0.270618939582943,-0.609995028301013,0.0937222576536819,"R4","XO","Igfri","Gsk3i","Exp_XO","Igfri+Gsk3i"
"...220",-0.188185429751697,4.10237222979658,-0.337155327190132,NA,-2.39943769360929,-0.168600118148527,-0.0172488915928403,"R4","XO","Meki","Gsk3i","Exp_XO","Meki+Gsk3i"
"...221",-1.1881854297517,0.184178985122558,-0.592412382432205,NA,0.498044466003054,-0.657134342954818,-0.0602327836860816,"R4","XO","Pi3ki","Gsk3i","Exp_XO","Pi3ki+Gsk3i"
"...222",-1.14309754022316,-1.12162944440153,-0.655837762573838,NA,-4.06368357817492,-2.12666002055425,-0.145393655005531,"R4","XO","Fgfri","Jaki","Exp_XO","Fgfri+Jaki"
"...223",-0.825615350366987,0.0122263023332559,-0.531658351353109,NA,-0.217768950388915,-2.59210857227028,-0.609671986978066,"R4","XO","Igfri","Jaki","Exp_XO","Igfri+Jaki"
"...224",-0.706033734614316,3.2687783883686,-0.688627697691509,NA,-2.79559298899409,-2.38411616143851,-0.13643418928401,"R4","XO","Meki","Jaki","Exp_XO","Meki+Jaki"
"...225",-1.30748435812404,-0.0154300405696054,-0.0230467367620673,NA,0.000651226984942726,-3.02150560867031,-0.53019421453183,"R4","XO","Pi3ki","Jaki","Exp_XO","Pi3ki+Jaki"
"...226",0.277478142597113,0.609312362136908,-0.248928144178396,NA,2.05188809755329,-1.26574436665157,0.92121326642504,"R4","XO","Activin","NoLif","Exp_XO","Activin+NoLif"
"...227",-0.165465353251613,-0.497138579493738,-0.0230467367620673,NA,-2.92146530649367,-1.50513969667128,-0.958065373400406,"R4","XO","Bmp4ri","NoLif","Exp_XO","Bmp4ri+NoLif"
"...228",0.147417602032749,0.553935605100533,0.00798015885855764,NA,1.69549485527009,-1.45218900287806,0.103252158836967,"R4","XO","Fgf4","NoLif","Exp_XO","Fgf4+NoLif"
"...229",-0.437544898688413,-1.29155444584384,-0.298681179375496,NA,-3.97553770683344,-1.41391237212817,0.240938795203356,"R4","XO","Fgfri","NoLif","Exp_XO","Fgfri+NoLif"
"...230",-0.861684605074509,-0.433573450716271,-0.390104207139091,NA,-1.28138480398641,-1.61164124639277,-0.264448422638436,"R4","XO","Gsk3i","NoLif","Exp_XO","Gsk3i+NoLif"
