"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","10:38 AM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO3"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 10:40:37 AM"
"BatchStopTime","1/26/2017 11:33:38 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","73","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"38(1,F5)","Unknown34","NaN","NaN","47","NaN","117.5","NaN","NaN","NaN","NaN","NaN","NaN","236","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","42","NaN","33","NaN","NaN","NaN","133","NaN","NaN","NaN","144","NaN","31","NaN","26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44","NaN","NaN","NaN","3289"
"39(1,G5)","Unknown35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","28"
"40(1,H5)","Unknown36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","13"
"41(1,A6)","Unknown37","NaN","NaN","69","NaN","156","NaN","NaN","NaN","NaN","NaN","NaN","221","NaN","NaN","NaN","NaN","NaN","NaN","50","NaN","75","NaN","63","NaN","NaN","NaN","167.5","NaN","NaN","NaN","141","NaN","39","NaN","38","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","114","NaN","NaN","NaN","2450"
"42(1,B6)","Unknown38","NaN","NaN","46","NaN","173","NaN","NaN","NaN","NaN","NaN","NaN","314","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","45","NaN","34","NaN","NaN","NaN","194.5","NaN","NaN","NaN","148","NaN","33","NaN","32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","66","NaN","NaN","NaN","3015"
"43(1,C6)","Unknown39","NaN","NaN","50","NaN","98","NaN","NaN","NaN","NaN","NaN","NaN","252.5","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","45","NaN","37","NaN","NaN","NaN","110","NaN","NaN","NaN","139","NaN","33","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","NaN","NaN","3116"
"44(1,D6)","Unknown40","NaN","NaN","46","NaN","249","NaN","NaN","NaN","NaN","NaN","NaN","4950","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","43","NaN","34","NaN","NaN","NaN","204","NaN","NaN","NaN","151","NaN","34","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","126","NaN","NaN","NaN","3232"
"45(1,E6)","Unknown41","NaN","NaN","44","NaN","161","NaN","NaN","NaN","NaN","NaN","NaN","291","NaN","NaN","NaN","NaN","NaN","NaN","35","NaN","44","NaN","34","NaN","NaN","NaN","176","NaN","NaN","NaN","153","NaN","34","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","93","NaN","NaN","NaN","3327"
"46(1,F6)","Unknown42","NaN","NaN","47","NaN","50","NaN","NaN","NaN","NaN","NaN","NaN","223.5","NaN","NaN","NaN","NaN","NaN","NaN","39.5","NaN","49","NaN","38.5","NaN","NaN","NaN","83","NaN","NaN","NaN","136","NaN","30","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","NaN","NaN","3030"
"49(1,A7)","Unknown43","NaN","NaN","44","NaN","250","NaN","NaN","NaN","NaN","NaN","NaN","199","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","44","NaN","33","NaN","NaN","NaN","222","NaN","NaN","NaN","150","NaN","30","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","134","NaN","NaN","NaN","2853"
