"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"44(1,D6)","Unknown42","NaN","NaN","50","NaN","242","NaN","NaN","NaN","NaN","NaN","NaN","8679","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","45","NaN","34","NaN","NaN","NaN","160.5","NaN","NaN","NaN","121","NaN","32","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","194","NaN","NaN","NaN","3815"
"45(1,E6)","Unknown52","NaN","NaN","44","NaN","181.5","NaN","NaN","NaN","NaN","NaN","NaN","8210","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","40","NaN","28","NaN","NaN","NaN","145","NaN","NaN","NaN","120","NaN","28.5","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","164","NaN","NaN","NaN","3779"
"46(1,F6)","Unknown58","NaN","NaN","43","NaN","66","NaN","NaN","NaN","NaN","NaN","NaN","7365","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","40","NaN","27","NaN","NaN","NaN","78","NaN","NaN","NaN","107","NaN","29.5","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","NaN","NaN","3923"
"49(1,A7)","Unknown7","NaN","NaN","40","NaN","198.5","NaN","NaN","NaN","NaN","NaN","NaN","7491.5","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","37","NaN","27","NaN","NaN","NaN","159","NaN","NaN","NaN","108","NaN","28.5","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","110","NaN","NaN","NaN","3550"
"50(1,B7)","Unknown19","NaN","NaN","41","NaN","152.5","NaN","NaN","NaN","NaN","NaN","NaN","2111","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","35","NaN","25","NaN","NaN","NaN","138","NaN","NaN","NaN","108","NaN","27","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","103","NaN","NaN","NaN","3683"
"51(1,C7)","Unknown31","NaN","NaN","38","NaN","172","NaN","NaN","NaN","NaN","NaN","NaN","1006","NaN","NaN","NaN","NaN","NaN","NaN","26","NaN","30","NaN","24","NaN","NaN","NaN","139","NaN","NaN","NaN","101.5","NaN","25","NaN","13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","65","NaN","NaN","NaN","4352"
"52(1,D7)","Unknown43","NaN","NaN","44.5","NaN","188.5","NaN","NaN","NaN","NaN","NaN","NaN","2641.5","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","41","NaN","29.5","NaN","NaN","NaN","117","NaN","NaN","NaN","111","NaN","26","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","122","NaN","NaN","NaN","3816"
"54(1,F7)","Unknown59","NaN","NaN","42","NaN","94","NaN","NaN","NaN","NaN","NaN","NaN","8118","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","26","NaN","NaN","NaN","90.5","NaN","NaN","NaN","119.5","NaN","30","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","NaN","NaN","3504"
"55(1,G7)","Unknown66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","74"
"56(1,H7)","Unknown70","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70"
"57(1,A8)","Unknown8","NaN","NaN","44","NaN","137","NaN","NaN","NaN","NaN","NaN","NaN","6745","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","39","NaN","28","NaN","NaN","NaN","143","NaN","NaN","NaN","112","NaN","31","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64","NaN","NaN","NaN","3597"
"58(1,B8)","Unknown20","NaN","NaN","44","NaN","189","NaN","NaN","NaN","NaN","NaN","NaN","3143.5","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","35","NaN","26","NaN","NaN","NaN","164","NaN","NaN","NaN","115","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112","NaN","NaN","NaN","3651"
"59(1,C8)","Unknown32","NaN","NaN","40","NaN","265","NaN","NaN","NaN","NaN","NaN","NaN","8062","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","33","NaN","27","NaN","NaN","NaN","160.5","NaN","NaN","NaN","109.5","NaN","31","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","102","NaN","NaN","NaN","3692"
"60(1,D8)","Unknown44","NaN","NaN","40.5","NaN","95","NaN","NaN","NaN","NaN","NaN","NaN","4407","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","35","NaN","26","NaN","NaN","NaN","93","NaN","NaN","NaN","113","NaN","28","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","NaN","NaN","3984"
"62(1,F8)","Unknown60","NaN","NaN","44","NaN","78.5","NaN","NaN","NaN","NaN","NaN","NaN","7255.5","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","43","NaN","32","NaN","NaN","NaN","92.5","NaN","NaN","NaN","118.5","NaN","31","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","NaN","NaN","3902"
"65(1,A9)","Unknown9","NaN","NaN","44","NaN","275","NaN","NaN","NaN","NaN","NaN","NaN","7273","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","40","NaN","28","NaN","NaN","NaN","175","NaN","NaN","NaN","125","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","158.5","NaN","NaN","NaN","3420"
