"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"66(1,B9)","Unknown21","NaN","NaN","43","NaN","148","NaN","NaN","NaN","NaN","NaN","NaN","2379.5","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","35","NaN","26","NaN","NaN","NaN","148","NaN","NaN","NaN","118","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","68","NaN","NaN","NaN","4101"
"67(1,C9)","Unknown33","NaN","NaN","44","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","6109","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","39","NaN","29","NaN","NaN","NaN","135","NaN","NaN","NaN","112","NaN","27.5","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","94","NaN","NaN","NaN","3811"
"68(1,D9)","Unknown45","NaN","NaN","43","NaN","220","NaN","NaN","NaN","NaN","NaN","NaN","8516","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","39","NaN","30","NaN","NaN","NaN","129","NaN","NaN","NaN","116","NaN","28","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","198","NaN","NaN","NaN","3692"
"70(1,F9)","Unknown61","NaN","NaN","43","NaN","184","NaN","NaN","NaN","NaN","NaN","NaN","6861","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","28","NaN","NaN","NaN","133","NaN","NaN","NaN","108","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","121","NaN","NaN","NaN","3623"
"73(1,A10)","Unknown10","NaN","NaN","52","NaN","206","NaN","NaN","NaN","NaN","NaN","NaN","6611","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","45","NaN","39","NaN","NaN","NaN","158","NaN","NaN","NaN","109","NaN","31.5","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","91","NaN","NaN","NaN","4211"
"74(1,B10)","Unknown22","NaN","NaN","50","NaN","248","NaN","NaN","NaN","NaN","NaN","NaN","9489.5","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","42","NaN","38","NaN","NaN","NaN","183","NaN","NaN","NaN","112","NaN","32.5","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","298","NaN","NaN","NaN","3757"
"75(1,C10)","Unknown34","NaN","NaN","52.5","NaN","114","NaN","NaN","NaN","NaN","NaN","NaN","6472","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","50","NaN","39","NaN","NaN","NaN","101","NaN","NaN","NaN","123","NaN","30.5","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","43","NaN","NaN","NaN","4040"
"76(1,D10)","Unknown46","NaN","NaN","49","NaN","104","NaN","NaN","NaN","NaN","NaN","NaN","10141.5","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","42.5","NaN","36","NaN","NaN","NaN","79.5","NaN","NaN","NaN","118","NaN","31","NaN","18.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","43","NaN","NaN","NaN","3793"
"78(1,F10)","Unknown62","NaN","NaN","51","NaN","138","NaN","NaN","NaN","NaN","NaN","NaN","8834.5","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","47","NaN","34","NaN","NaN","NaN","149.5","NaN","NaN","NaN","104","NaN","31","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","83","NaN","NaN","NaN","3591"
"79(1,G10)","Unknown67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77"
"80(1,H10)","Unknown71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","72"
"81(1,A11)","Unknown11","NaN","NaN","42","NaN","220.5","NaN","NaN","NaN","NaN","NaN","NaN","6237.5","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","38","NaN","28","NaN","NaN","NaN","162","NaN","NaN","NaN","117","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","89","NaN","NaN","NaN","4056"
"82(1,B11)","Unknown23","NaN","NaN","42","NaN","251.5","NaN","NaN","NaN","NaN","NaN","NaN","9345","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","34","NaN","26","NaN","NaN","NaN","161","NaN","NaN","NaN","119","NaN","28","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","213","NaN","NaN","NaN","4137"
"83(1,C11)","Unknown35","NaN","NaN","43","NaN","249","NaN","NaN","NaN","NaN","NaN","NaN","1729","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","31","NaN","31","NaN","NaN","NaN","181","NaN","NaN","NaN","118","NaN","28","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","96.5","NaN","NaN","NaN","3933"
"89(1,A12)","Unknown12","NaN","NaN","66.5","NaN","184","NaN","NaN","NaN","NaN","NaN","NaN","6404.5","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","57","NaN","50","NaN","NaN","NaN","164","NaN","NaN","NaN","122","NaN","34","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","74","NaN","NaN","NaN","3981"
"90(1,B12)","Unknown24","NaN","NaN","46","NaN","186","NaN","NaN","NaN","NaN","NaN","NaN","8629.5","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","40","NaN","31","NaN","NaN","NaN","165","NaN","NaN","NaN","119","NaN","31","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","113","NaN","NaN","NaN","4077"
"91(1,C12)","Unknown36","NaN","NaN","43","NaN","238","NaN","NaN","NaN","NaN","NaN","NaN","8755","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","35","NaN","29","NaN","NaN","NaN","160","NaN","NaN","NaN","126","NaN","29","NaN","15.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","177","NaN","NaN","NaN","3819"
"94(1,F12)","Unknown63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95"

"DataType:","Net MFI"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","NaN","41","NaN","205","NaN","NaN","NaN","NaN","NaN","NaN","6946","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","36","NaN","29","NaN","NaN","NaN","157","NaN","NaN","NaN","117","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","81","NaN","NaN","NaN","3960"
"2(1,B1)","Unknown13","NaN","NaN","40","NaN","203","NaN","NaN","NaN","NaN","NaN","NaN","6333","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","27","NaN","NaN","NaN","149.5","NaN","NaN","NaN","108.5","NaN","27","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","276.5","NaN","NaN","NaN","4123"
"3(1,C1)","Unknown25","NaN","NaN","39","NaN","151","NaN","NaN","NaN","NaN","NaN","NaN","4129","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","34","NaN","30","NaN","NaN","NaN","108","NaN","NaN","NaN","117","NaN","30","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58","NaN","NaN","NaN","4035"
"4(1,D1)","Unknown37","NaN","NaN","41","NaN","203","NaN","NaN","NaN","NaN","NaN","NaN","7157","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","37","NaN","27","NaN","NaN","NaN","132","NaN","NaN","NaN","114","NaN","30","NaN","16.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","183","NaN","NaN","NaN","4595"
"5(1,E1)","Unknown47","NaN","NaN","43","NaN","257.5","NaN","NaN","NaN","NaN","NaN","NaN","7284","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","46","NaN","33","NaN","NaN","NaN","137","NaN","NaN","NaN","121","NaN","31","NaN","21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","618","NaN","NaN","NaN","4006"
"6(1,F1)","Unknown53","NaN","NaN","43","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","5682","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","38","NaN","30","NaN","NaN","NaN","137","NaN","NaN","NaN","119.5","NaN","30","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","136","NaN","NaN","NaN","3645"
"7(1,G1)","Unknown64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58"
"8(1,H1)","Unknown68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44"
"9(1,A2)","Unknown2","NaN","NaN","36","NaN","159.5","NaN","NaN","NaN","NaN","NaN","NaN","6967.5","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","33","NaN","25","NaN","NaN","NaN","150","NaN","NaN","NaN","110.5","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","65.5","NaN","NaN","NaN","3196"
"10(1,B2)","Unknown14","NaN","NaN","42","NaN","234","NaN","NaN","NaN","NaN","NaN","NaN","6338","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","36","NaN","29","NaN","NaN","NaN","159","NaN","NaN","NaN","119","NaN","29","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","287.5","NaN","NaN","NaN","2940"
"11(1,C2)","Unknown26","NaN","NaN","41","NaN","83","NaN","NaN","NaN","NaN","NaN","NaN","7176.5","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","33","NaN","25","NaN","NaN","NaN","87","NaN","NaN","NaN","115","NaN","28","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","35","NaN","NaN","NaN","3839"
"12(1,D2)","Unknown38","NaN","NaN","43","NaN","211","NaN","NaN","NaN","NaN","NaN","NaN","6980","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","40","NaN","27","NaN","NaN","NaN","139","NaN","NaN","NaN","119","NaN","30","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","229.5","NaN","NaN","NaN","3901"
"13(1,E2)","Unknown48","NaN","NaN","46","NaN","271","NaN","NaN","NaN","NaN","NaN","NaN","8100","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","43.5","NaN","37","NaN","NaN","NaN","142.5","NaN","NaN","NaN","119","NaN","31","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","400.5","NaN","NaN","NaN","3621"
"14(1,F2)","Unknown54","NaN","NaN","46","NaN","220","NaN","NaN","NaN","NaN","NaN","NaN","7660","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","37","NaN","30","NaN","NaN","NaN","153","NaN","NaN","NaN","119","NaN","31","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","231","NaN","NaN","NaN","3893"
"17(1,A3)","Unknown3","NaN","NaN","44","NaN","183","NaN","NaN","NaN","NaN","NaN","NaN","6227.5","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","39","NaN","28","NaN","NaN","NaN","150","NaN","NaN","NaN","117","NaN","30","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","94","NaN","NaN","NaN","3818"
"18(1,B3)","Unknown15","NaN","NaN","39","NaN","216.5","NaN","NaN","NaN","NaN","NaN","NaN","8049","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","41","NaN","30","NaN","NaN","NaN","176","NaN","NaN","NaN","117","NaN","31","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","157.5","NaN","NaN","NaN","3850"
"19(1,C3)","Unknown27","NaN","NaN","42","NaN","195.5","NaN","NaN","NaN","NaN","NaN","NaN","2102","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","34","NaN","26","NaN","NaN","NaN","172","NaN","NaN","NaN","131","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","86","NaN","NaN","NaN","4257"
"20(1,D3)","Unknown39","NaN","NaN","41","NaN","190.5","NaN","NaN","NaN","NaN","NaN","NaN","7194","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","40","NaN","28","NaN","NaN","NaN","121","NaN","NaN","NaN","111","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","99.5","NaN","NaN","NaN","3703"
"21(1,E3)","Unknown49","NaN","NaN","51","NaN","237.5","NaN","NaN","NaN","NaN","NaN","NaN","7959","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","50","NaN","36","NaN","NaN","NaN","135","NaN","NaN","NaN","106","NaN","33","NaN","20.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","397","NaN","NaN","NaN","4043"
"22(1,F3)","Unknown55","NaN","NaN","44","NaN","114.5","NaN","NaN","NaN","NaN","NaN","NaN","7064","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","36","NaN","26","NaN","NaN","NaN","97","NaN","NaN","NaN","112","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64","NaN","NaN","NaN","3470"
"25(1,A4)","Unknown4","NaN","NaN","41","NaN","126","NaN","NaN","NaN","NaN","NaN","NaN","6608","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","36","NaN","27","NaN","NaN","NaN","144","NaN","NaN","NaN","120","NaN","29","NaN","17.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","53","NaN","NaN","NaN","3859"
"26(1,B4)","Unknown16","NaN","NaN","39","NaN","146","NaN","NaN","NaN","NaN","NaN","NaN","7509","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","24","NaN","NaN","NaN","144","NaN","NaN","NaN","106.5","NaN","27","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","98","NaN","NaN","NaN","3722"
"27(1,C4)","Unknown28","NaN","NaN","39","NaN","226","NaN","NaN","NaN","NaN","NaN","NaN","9590","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","32","NaN","24","NaN","NaN","NaN","162","NaN","NaN","NaN","120","NaN","30","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","106","NaN","NaN","NaN","3773"
"28(1,D4)","Unknown40","NaN","NaN","47","NaN","117","NaN","NaN","NaN","NaN","NaN","NaN","7917.5","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","48","NaN","33","NaN","NaN","NaN","94","NaN","NaN","NaN","111","NaN","31","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45","NaN","NaN","NaN","3676"
"29(1,E4)","Unknown50","NaN","NaN","44","NaN","256","NaN","NaN","NaN","NaN","NaN","NaN","7879","NaN","NaN","NaN","NaN","NaN","NaN","27.5","NaN","47","NaN","33","NaN","NaN","NaN","141","NaN","NaN","NaN","105","NaN","29","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","555.5","NaN","NaN","NaN","3888"
"30(1,F4)","Unknown56","NaN","NaN","42","NaN","153.5","NaN","NaN","NaN","NaN","NaN","NaN","5924.5","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","38","NaN","28","NaN","NaN","NaN","118","NaN","NaN","NaN","121","NaN","32","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","73","NaN","NaN","NaN","3931"
"31(1,G4)","Unknown65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","75"
"32(1,H4)","Unknown69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64"
"33(1,A5)","Unknown5","NaN","NaN","43","NaN","219.5","NaN","NaN","NaN","NaN","NaN","NaN","6780","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","39","NaN","28","NaN","NaN","NaN","157","NaN","NaN","NaN","113","NaN","31","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","137","NaN","NaN","NaN","3362"
"34(1,B5)","Unknown17","NaN","NaN","39","NaN","197.5","NaN","NaN","NaN","NaN","NaN","NaN","7421","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","42","NaN","25","NaN","NaN","NaN","169","NaN","NaN","NaN","119","NaN","27","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","124","NaN","NaN","NaN","4111"
"35(1,C5)","Unknown29","NaN","NaN","42","NaN","179","NaN","NaN","NaN","NaN","NaN","NaN","5889","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","37","NaN","30","NaN","NaN","NaN","126","NaN","NaN","NaN","113","NaN","29","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","96","NaN","NaN","NaN","3939"
"36(1,D5)","Unknown41","NaN","NaN","33.5","NaN","170","NaN","NaN","NaN","NaN","NaN","NaN","2567.5","NaN","NaN","NaN","NaN","NaN","NaN","23","NaN","31","NaN","21","NaN","NaN","NaN","130","NaN","NaN","NaN","100","NaN","27","NaN","13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","116","NaN","NaN","NaN","3853"
"37(1,E5)","Unknown51","NaN","NaN","45","NaN","230","NaN","NaN","NaN","NaN","NaN","NaN","10296","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","47","NaN","30","NaN","NaN","NaN","145","NaN","NaN","NaN","116","NaN","30","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","286","NaN","NaN","NaN","4055"
"38(1,F5)","Unknown57","NaN","NaN","42","NaN","116","NaN","NaN","NaN","NaN","NaN","NaN","7165","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","35","NaN","25","NaN","NaN","NaN","100","NaN","NaN","NaN","118","NaN","31","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","NaN","NaN","NaN","3659"
"41(1,A6)","Unknown6","NaN","NaN","41","NaN","150","NaN","NaN","NaN","NaN","NaN","NaN","7711","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","35","NaN","27","NaN","NaN","NaN","136","NaN","NaN","NaN","110.5","NaN","28","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","90.5","NaN","NaN","NaN","3836"
"42(1,B6)","Unknown18","NaN","NaN","45","NaN","144.5","NaN","NaN","NaN","NaN","NaN","NaN","7082","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","41","NaN","28","NaN","NaN","NaN","151","NaN","NaN","NaN","119","NaN","27","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","66","NaN","NaN","NaN","3810"
"43(1,C6)","Unknown30","NaN","NaN","43","NaN","97","NaN","NaN","NaN","NaN","NaN","NaN","7491","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","40","NaN","29","NaN","NaN","NaN","97","NaN","NaN","NaN","113","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","35","NaN","NaN","NaN","3445"
"44(1,D6)","Unknown42","NaN","NaN","50","NaN","242","NaN","NaN","NaN","NaN","NaN","NaN","8679","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","45","NaN","34","NaN","NaN","NaN","160.5","NaN","NaN","NaN","121","NaN","32","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","194","NaN","NaN","NaN","3815"
"45(1,E6)","Unknown52","NaN","NaN","44","NaN","181.5","NaN","NaN","NaN","NaN","NaN","NaN","8210","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","40","NaN","28","NaN","NaN","NaN","145","NaN","NaN","NaN","120","NaN","28.5","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","164","NaN","NaN","NaN","3779"
"46(1,F6)","Unknown58","NaN","NaN","43","NaN","66","NaN","NaN","NaN","NaN","NaN","NaN","7365","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","40","NaN","27","NaN","NaN","NaN","78","NaN","NaN","NaN","107","NaN","29.5","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","NaN","NaN","3923"
"49(1,A7)","Unknown7","NaN","NaN","40","NaN","198.5","NaN","NaN","NaN","NaN","NaN","NaN","7491.5","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","37","NaN","27","NaN","NaN","NaN","159","NaN","NaN","NaN","108","NaN","28.5","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","110","NaN","NaN","NaN","3550"
"50(1,B7)","Unknown19","NaN","NaN","41","NaN","152.5","NaN","NaN","NaN","NaN","NaN","NaN","2111","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","35","NaN","25","NaN","NaN","NaN","138","NaN","NaN","NaN","108","NaN","27","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","103","NaN","NaN","NaN","3683"
"51(1,C7)","Unknown31","NaN","NaN","38","NaN","172","NaN","NaN","NaN","NaN","NaN","NaN","1006","NaN","NaN","NaN","NaN","NaN","NaN","26","NaN","30","NaN","24","NaN","NaN","NaN","139","NaN","NaN","NaN","101.5","NaN","25","NaN","13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","65","NaN","NaN","NaN","4352"
"52(1,D7)","Unknown43","NaN","NaN","44.5","NaN","188.5","NaN","NaN","NaN","NaN","NaN","NaN","2641.5","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","41","NaN","29.5","NaN","NaN","NaN","117","NaN","NaN","NaN","111","NaN","26","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","122","NaN","NaN","NaN","3816"
"54(1,F7)","Unknown59","NaN","NaN","42","NaN","94","NaN","NaN","NaN","NaN","NaN","NaN","8118","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","26","NaN","NaN","NaN","90.5","NaN","NaN","NaN","119.5","NaN","30","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","NaN","NaN","3504"
"55(1,G7)","Unknown66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","74"
"56(1,H7)","Unknown70","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70"
