"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","12:34 PM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO4"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 12:41:44 PM"
"BatchStopTime","1/26/2017 1:32:30 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","71","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"37(1,E5)","Unknown33","NaN","NaN","49","NaN","190","NaN","NaN","NaN","NaN","NaN","NaN","453","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","45","NaN","28","NaN","NaN","NaN","148","NaN","NaN","NaN","120","NaN","30","NaN","21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","120","NaN","NaN","NaN","3038"
"38(1,F5)","Unknown34","NaN","NaN","41","NaN","93.5","NaN","NaN","NaN","NaN","NaN","NaN","154","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","37","NaN","23","NaN","NaN","NaN","117.5","NaN","NaN","NaN","116","NaN","29","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44","NaN","NaN","NaN","3115"
"41(1,A6)","Unknown35","NaN","NaN","52","NaN","76","NaN","NaN","NaN","NaN","NaN","NaN","152","NaN","NaN","NaN","NaN","NaN","NaN","47","NaN","49.5","NaN","31","NaN","NaN","NaN","182","NaN","NaN","NaN","146.5","NaN","34","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","220","NaN","NaN","NaN","2889"
"42(1,B6)","Unknown36","NaN","NaN","49","NaN","58","NaN","NaN","NaN","NaN","NaN","NaN","299","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","56","NaN","32","NaN","NaN","NaN","218.5","NaN","NaN","NaN","205","NaN","35","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","283","NaN","NaN","NaN","2902"
"43(1,C6)","Unknown37","NaN","NaN","49","NaN","50","NaN","NaN","NaN","NaN","NaN","NaN","144","NaN","NaN","NaN","NaN","NaN","NaN","44","NaN","44.5","NaN","33","NaN","NaN","NaN","113.5","NaN","NaN","NaN","151","NaN","34","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","60","NaN","NaN","NaN","2729"
"44(1,D6)","Unknown38","NaN","NaN","52","NaN","137","NaN","NaN","NaN","NaN","NaN","NaN","4928.5","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","54","NaN","34.5","NaN","NaN","NaN","223","NaN","NaN","NaN","226","NaN","32","NaN","21.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1734.5","NaN","NaN","NaN","2865"
"45(1,E6)","Unknown39","NaN","NaN","51","NaN","56","NaN","NaN","NaN","NaN","NaN","NaN","217.5","NaN","NaN","NaN","NaN","NaN","NaN","45","NaN","52","NaN","37","NaN","NaN","NaN","196","NaN","NaN","NaN","210","NaN","36","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1624","NaN","NaN","NaN","3039"
"46(1,F6)","Unknown40","NaN","NaN","51","NaN","58","NaN","NaN","NaN","NaN","NaN","NaN","155","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","53","NaN","33","NaN","NaN","NaN","137","NaN","NaN","NaN","155","NaN","32","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","71","NaN","NaN","NaN","2917"
"49(1,A7)","Unknown41","NaN","NaN","36","NaN","128","NaN","NaN","NaN","NaN","NaN","NaN","112.5","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","35","NaN","22","NaN","NaN","NaN","139","NaN","NaN","NaN","113","NaN","30","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","51","NaN","NaN","NaN","2476"
"50(1,B7)","Unknown42","NaN","NaN","35","NaN","64.5","NaN","NaN","NaN","NaN","NaN","NaN","72","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","31","NaN","22","NaN","NaN","NaN","89","NaN","NaN","NaN","110","NaN","28","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","47","NaN","NaN","NaN","2741"
"51(1,C7)","Unknown43","NaN","NaN","38","NaN","106","NaN","NaN","NaN","NaN","NaN","NaN","63","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","30","NaN","22","NaN","NaN","NaN","113","NaN","NaN","NaN","115","NaN","27","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45","NaN","NaN","NaN","2982"
"52(1,D7)","Unknown44","NaN","NaN","40.5","NaN","128","NaN","NaN","NaN","NaN","NaN","NaN","107","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","36","NaN","28","NaN","NaN","NaN","91","NaN","NaN","NaN","123","NaN","30","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","69","NaN","NaN","NaN","2462"
"54(1,F7)","Unknown45","NaN","NaN","40","NaN","64","NaN","NaN","NaN","NaN","NaN","NaN","149","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","36","NaN","25","NaN","NaN","NaN","89","NaN","NaN","NaN","120","NaN","27","NaN","21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","NaN","NaN","2653"
"55(1,G7)","Unknown46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36"
