"","Pert1","Pert2","phospho_value","Category"
"282","Fgf4","NoLif",-1.52367830939395,"Final_Model"
"283","Fgf4","Jaki",-1.85110406704517,"Final_Model"
"284","Fgf4","Activin",0.0226056477740291,"Final_Model"
"285","Fgf4","Bmp4ri",0.00628882363026186,"Final_Model"
"286","Fgf4","Gsk3i",-0.244203956740959,"Final_Model"
"287","Fgfri","None",-0.107769324375276,"Final_Model"
"288","Fgfri","Igfri",-0.208713437172783,"Final_Model"
"289","Fgfri","Pi3ki",-0.317304927179071,"Final_Model"
"290","Fgfri","Fgf4",-0.113260169824063,"Final_Model"
"291","Fgfri","Fgfri",NA,"Final_Model"
"292","Fgfri","Meki",NA,"Final_Model"
"293","Fgfri","NoLif",-1.58928719638201,"Final_Model"
"294","Fgfri","Jaki",-1.87185665448239,"Final_Model"
"295","Fgfri","Activin",-0.0487921437143943,"Final_Model"
"296","Fgfri","Bmp4ri",-0.0595998649143257,"Final_Model"
"297","Fgfri","Gsk3i",-0.267625110971088,"Final_Model"
"298","Meki","None",0,"Final_Model"
"299","Meki","Igfri",-0.150988156451444,"Final_Model"
"300","Meki","Pi3ki",-0.278805793429245,"Final_Model"
"301","Meki","Fgf4",-0.0182411390452631,"Final_Model"
"302","Meki","Fgfri",NA,"Final_Model"
"303","Meki","Meki",NA,"Final_Model"
"304","Meki","NoLif",-1.54628395716798,"Final_Model"
"305","Meki","Jaki",-1.85837203271127,"Final_Model"
"306","Meki","Activin",0,"Final_Model"
"307","Meki","Bmp4ri",-0.0162300739789538,"Final_Model"
"308","Meki","Gsk3i",-0.251705861653244,"Final_Model"
"309","NoLif","None",-1.35083486177285,"Final_Model"
"310","NoLif","Igfri",-1.48891267834476,"Final_Model"
"311","NoLif","Pi3ki",-1.61200178347943,"Final_Model"
"312","NoLif","Fgf4",-1.36907600081812,"Final_Model"
"313","NoLif","Fgfri",-1.45058190366543,"Final_Model"
"314","NoLif","Meki",-1.35083486177285,"Final_Model"
"315","NoLif","NoLif",NA,"Final_Model"
"316","NoLif","Jaki",-2.3555194192001,"Final_Model"
"317","NoLif","Activin",-1.54628395716798,"Final_Model"
"318","NoLif","Bmp4ri",-1.5565800986415,"Final_Model"
"319","NoLif","Gsk3i",-1.74994987111398,"Final_Model"
"320","Jaki","None",-1.72533317934996,"Final_Model"
"321","Jaki","Igfri",-1.7621153424841,"Final_Model"
"322","Jaki","Pi3ki",-1.8029814616541,"Final_Model"
